,gene_id,gene_name
477,ENSG00000222952,RNA5SP41
478,ENSG00000237445,AL359771.1
479,ENSG00000253085,RF00564
480,ENSG00000116731,PRDM2
481,ENSG00000189337,KAZN
482,ENSG00000252151,RNU6-1265P
483,ENSG00000231606,AL357873.1
484,ENSG00000234593,KAZN-AS1
485,ENSG00000235829,TBCAP2
486,ENSG00000175147,TMEM51-AS1
487,ENSG00000171729,TMEM51
488,ENSG00000204464,C1orf195
489,ENSG00000215720,AL035405.1
490,ENSG00000278480,AL391094.1
491,ENSG00000142621,FHAD1
492,ENSG00000233485,AL031283.2
493,ENSG00000236045,AL031283.3
494,ENSG00000228140,AL031283.1
495,ENSG00000142634,EFHD2
496,ENSG00000162438,CTRC
497,ENSG00000142615,CELA2A
498,ENSG00000215704,CELA2B
499,ENSG00000132906,CASP9
500,ENSG00000116138,DNAJC16
501,ENSG00000251866,SCARNA21B
502,ENSG00000272510,AL121992.3
503,ENSG00000116771,AGMAT
504,ENSG00000237301,AL121992.1
505,ENSG00000235084,CHCHD2P6
506,ENSG00000252417,RNU7-179P
507,ENSG00000236500,CD24P1
508,ENSG00000197312,DDI2
509,ENSG00000215695,RSC1A1
510,ENSG00000271742,AL121992.2
511,ENSG00000116786,PLEKHM2
512,ENSG00000237938,AL450998.2
513,ENSG00000162461,SLC25A34
514,ENSG00000224459,SLC25A34-AS1
515,ENSG00000162460,TMEM82
516,ENSG00000162458,FBLIM1
517,ENSG00000224321,RPL12P14
518,ENSG00000233954,UQCRHL
519,ENSG00000178715,AL450998.1
520,ENSG00000179743,FLJ37453
521,ENSG00000065526,SPEN
522,ENSG00000270620,AL034555.1
523,ENSG00000116809,ZBTB17
524,ENSG00000234607,AL355994.4
525,ENSG00000231353,AL355994.1
526,ENSG00000275503,AL355994.5
527,ENSG00000224966,TBC1D3P6
528,ENSG00000183888,SRARP
529,ENSG00000233078,AL355994.3
530,ENSG00000173641,HSPB7
531,ENSG00000186510,CLCNKA
532,ENSG00000232456,AL355994.2
533,ENSG00000184908,CLCNKB
534,ENSG00000185519,FAM131C
535,ENSG00000142627,EPHA2
536,ENSG00000227959,AL451042.2
537,ENSG00000224621,AL451042.1
538,ENSG00000234166,ARHGEF19-AS1
539,ENSG00000142632,ARHGEF19
540,ENSG00000237276,ANO7L1
541,ENSG00000132881,CPLANE2
542,ENSG00000233929,MT1XP1
543,ENSG00000037637,FBXO42
544,ENSG00000055070,SZRD1
545,ENSG00000226457,RPL22P3
546,ENSG00000187144,SPATA21
547,ENSG00000157191,NECAP2
548,ENSG00000226029,LINC01772
549,ENSG00000080947,CROCCP3
550,ENSG00000206652,RNU1-1
551,ENSG00000261135,AL137802.2
552,ENSG00000285853,AL137802.3
553,ENSG00000224174,AL137802.1
554,ENSG00000233421,LINC01783
555,ENSG00000277344,RNU1-6P
556,ENSG00000225710,AL355149.1
557,ENSG00000219481,NBPF1
558,ENSG00000271732,AL137798.1
559,ENSG00000215908,CROCCP2
560,ENSG00000283773,AL137798.3
561,ENSG00000186301,MST1P2
562,ENSG00000282143,AL137798.2
563,ENSG00000207513,RNU1-3
564,ENSG00000280114,AL021920.2
565,ENSG00000236698,EIF1AXP1
566,ENSG00000268869,ESPNP
567,ENSG00000279151,AL021920.1
568,ENSG00000282740,AL021920.3
569,ENSG00000058453,CROCC
570,ENSG00000227684,CROCCP4
571,ENSG00000207389,RNU1-4
572,ENSG00000186715,MST1L
573,ENSG00000223643,BX284668.1
574,ENSG00000230239,BX284668.3
575,ENSG00000263811,MIR3675
576,ENSG00000228549,BX284668.2
577,ENSG00000277234,RNU1-5P
578,ENSG00000238142,BX284668.5
579,ENSG00000235241,BX284668.4
580,ENSG00000207005,RNU1-2
581,ENSG00000272426,BX284668.6
582,ENSG00000117122,MFAP2
583,ENSG00000226526,AL049569.1
584,ENSG00000159363,ATP13A2
585,ENSG00000117118,SDHB
586,ENSG00000117115,PADI2
587,ENSG00000204362,AL590644.1
588,ENSG00000282843,AL590644.3
589,ENSG00000142623,PADI1
590,ENSG00000142619,PADI3
591,ENSG00000266634,MIR3972
592,ENSG00000159339,PADI4
593,ENSG00000276747,PADI6
594,ENSG00000227751,AC004824.1
595,ENSG00000179051,RCC2
596,ENSG00000074964,ARHGEF10L
597,ENSG00000236648,AL136529.1
598,ENSG00000117148,ACTL8
599,ENSG00000284653,AL357509.1
600,ENSG00000261781,LINC01654
601,ENSG00000117154,IGSF21
602,ENSG00000280222,AL365209.1
603,ENSG00000230035,IGSF21-AS1
604,ENSG00000225387,AL591896.1
605,ENSG00000179023,KLHDC7A
606,ENSG00000235282,DYNLL1P3
607,ENSG00000225478,AL031737.1
608,ENSG00000009709,PAX7
609,ENSG00000179002,TAS1R2
610,ENSG00000255275,AL080251.1
611,ENSG00000159423,ALDH4A1
612,ENSG00000265606,MIR4695
613,ENSG00000221662,MIR1290
614,ENSG00000169991,IFFO2
615,ENSG00000272084,AL137127.1
616,ENSG00000127481,UBR4
617,ENSG00000230424,AL035413.1
618,ENSG00000127463,EMC1
619,ENSG00000053372,MRTO4
620,ENSG00000211454,AKR7L
621,ENSG00000162482,AKR7A3
622,ENSG00000270728,AL035413.2
623,ENSG00000053371,AKR7A2
624,ENSG00000200403,RNU6-1099P
625,ENSG00000040487,PQLC2
626,ENSG00000077549,CAPZB
627,ENSG00000240490,RN7SL277P
628,ENSG00000173436,MINOS1
629,ENSG00000201609,RNU4-28P
630,ENSG00000235185,AL031727.2
631,ENSG00000158747,NBL1
632,ENSG00000270136,MINOS1-NBL1
633,ENSG00000226396,AL031727.1
634,ENSG00000158748,HTR6
635,ENSG00000162542,TMCO4
636,ENSG00000178828,RNF186
637,ENSG00000235434,AL391883.1
638,ENSG00000169914,OTUD3
639,ENSG00000188784,PLA2G2E
640,ENSG00000242688,RN7SL304P
641,ENSG00000188257,PLA2G2A
642,ENSG00000127472,PLA2G5
643,ENSG00000117215,PLA2G2D
644,ENSG00000158786,PLA2G2F
645,ENSG00000227066,Z98257.1
646,ENSG00000187980,PLA2G2C
647,ENSG00000225986,UBXN10-AS1
648,ENSG00000162543,UBXN10
649,ENSG00000228105,LINC01757
650,ENSG00000284710,Z98257.2
651,ENSG00000158816,VWA5B1
652,ENSG00000226664,AL020998.1
653,ENSG00000236963,LINC01141
654,ENSG00000226487,AL139254.1
655,ENSG00000284641,AL139254.2
656,ENSG00000284743,AL139254.3
657,ENSG00000162545,CAMK2N1
658,ENSG00000090432,MUL1
659,ENSG00000215520,RPS4XP4
660,ENSG00000183114,FAM43B
661,ENSG00000158825,CDA
662,ENSG00000158828,PINK1
663,ENSG00000284005,MIR6084
664,ENSG00000117242,PINK1-AS
665,ENSG00000244038,DDOST
666,ENSG00000117245,KIF17
667,ENSG00000235432,AL663074.2
668,ENSG00000189410,SH2D5
669,ENSG00000233069,AL663074.1
670,ENSG00000127483,HP1BP3
671,ENSG00000075151,EIF4G3
672,ENSG00000251914,RNU7-200P
673,ENSG00000221808,MIR1256
674,ENSG00000233072,RPS15AP6
675,ENSG00000236073,AL627311.1
676,ENSG00000235112,HSPE1P27
677,ENSG00000117298,ECE1
678,ENSG00000236936,AL031005.1
679,ENSG00000231105,AL031728.1
680,ENSG00000236216,PPP1R11P1
681,ENSG00000228823,AL592309.1
682,ENSG00000236009,AL592309.2
683,ENSG00000227001,NBPF2P
684,ENSG00000187952,HS6ST1P1
685,ENSG00000186543,CROCCP5
686,ENSG00000142794,NBPF3
687,ENSG00000176378,PFN1P10
688,ENSG00000162551,ALPL
689,ENSG00000233431,LINC02596
690,ENSG00000076864,RAP1GAP
691,ENSG00000090686,USP48
692,ENSG00000231978,AL590103.1
693,ENSG00000187942,LDLRAD2
694,ENSG00000142798,HSPG2
695,ENSG00000232037,AL590556.1
696,ENSG00000283234,AL590556.2
697,ENSG00000219073,CELA3B
698,ENSG00000285959,AL590556.3
699,ENSG00000273610,RN7SL386P
700,ENSG00000201919,RNU6-1022P
701,ENSG00000142789,CELA3A
702,ENSG00000278124,RN7SL186P
703,ENSG00000201273,RNU6-776P
704,ENSG00000228397,LINC01635
705,ENSG00000218510,LINC00339
706,ENSG00000285721,AL031281.2
707,ENSG00000285752,AL031281.3
708,ENSG00000285794,AL031281.4
709,ENSG00000070831,CDC42
710,ENSG00000230068,CDC42-IT1
711,ENSG00000271428,AL031281.1
712,ENSG00000162552,WNT4
713,ENSG00000285873,AL445253.1
714,ENSG00000266564,MIR4418
715,ENSG00000234397,PPIAP34
716,ENSG00000279625,AL591122.1
717,ENSG00000184677,ZBTB40
718,ENSG00000237200,ZBTB40-IT1
719,ENSG00000070886,EPHA8
720,ENSG00000276835,MIR6127
721,ENSG00000173372,C1QA
722,ENSG00000159189,C1QC
723,ENSG00000173369,C1QB
724,ENSG00000133216,EPHB2
725,ENSG00000265422,MIR4684
726,ENSG00000225952,AL512444.1
727,ENSG00000264014,MIR4253
728,ENSG00000215906,LACTBL1
729,ENSG00000227868,TEX46
730,ENSG00000004487,KDM1A
731,ENSG00000240553,AL031428.1
732,ENSG00000263793,MIR3115
733,ENSG00000266802,MIR4419A
734,ENSG00000169641,LUZP1
735,ENSG00000229010,AL161672.1
736,ENSG00000206935,RNU6-514P
737,ENSG00000252578,RNU6-135P
738,ENSG00000179546,HTR1D
739,ENSG00000215381,AL109936.1
740,ENSG00000261326,LINC01355
741,ENSG00000284726,AL109936.6
742,ENSG00000125944,HNRNPR
743,ENSG00000125945,ZNF436
744,ENSG00000249087,ZNF436-AS1
745,ENSG00000201405,RF00019
746,ENSG00000271420,AL109936.2
747,ENSG00000204219,TCEA3
748,ENSG00000232482,AL357134.1
749,ENSG00000088280,ASAP3
750,ENSG00000007968,E2F2
751,ENSG00000235052,AL021154.1
752,ENSG00000117318,ID3
753,ENSG00000285802,AL450043.1
754,ENSG00000197880,MDS2
755,ENSG00000229239,AL451000.1
756,ENSG00000142676,RPL11
757,ENSG00000011007,ELOA
758,ENSG00000236810,ELOA-AS1
759,ENSG00000057757,PITHD1
760,ENSG00000011009,LYPLA2
761,ENSG00000117308,GALE
762,ENSG00000117305,HMGCL
763,ENSG00000179163,FUCA1
764,ENSG00000188822,CNR2
765,ENSG00000229106,BTBD6P1
766,ENSG00000232557,AL590609.3
767,ENSG00000264926,MIR378F
768,ENSG00000230228,AL590609.2
769,ENSG00000189266,PNRC2
770,ENSG00000188529,SRSF10
771,ENSG00000215905,AL590609.1
772,ENSG00000225315,AL591178.1
773,ENSG00000142661,MYOM3
774,ENSG00000230703,AL591178.2
775,ENSG00000142677,IL22RA1
776,ENSG00000185436,IFNLR1
777,ENSG00000230023,AL590683.1
778,ENSG00000232298,AL138902.1
779,ENSG00000158055,GRHL3
780,ENSG00000001460,STPG1
781,ENSG00000001461,NIPAL3
782,ENSG00000117602,RCAN3
783,ENSG00000264443,AL445686.2
784,ENSG00000184454,NCMAP
785,ENSG00000227312,AL445686.1
786,ENSG00000239106,RF00019
